error,rounds
6725,0.427101
6729,0.426983
6733,0.426864
6737,0.426745
6741,0.426626
6745,0.426507
6749,0.426387
6753,0.426268
6757,0.426149
6761,0.426029
6765,0.42591
6769,0.42579
6773,0.42567
6777,0.42555
6781,0.425431
6785,0.425311
6789,0.425191
6793,0.42507
6797,0.42495
6801,0.42483
6805,0.42471
6809,0.424589
6813,0.424469
6817,0.424348
6821,0.424227
6825,0.424106
6829,0.423986
6833,0.423865
6837,0.423744
6841,0.423623
6845,0.423501
6849,0.42338
6853,0.423259
6857,0.423137
6861,0.423016
6865,0.422894
6869,0.422773
6873,0.422651
6877,0.422529
6881,0.422407
6885,0.422286
6889,0.422164
6893,0.422041
6897,0.421919
6901,0.421797
6905,0.421675
6909,0.421552
6913,0.42143
6917,0.421307
6921,0.421185
6925,0.421062
6929,0.420939
6933,0.420817
6937,0.420694
6941,0.420571
6945,0.420448
6949,0.420325
6953,0.420202
6957,0.420078
6961,0.419955
6965,0.419832
6969,0.419708
6973,0.419585
6977,0.419461
6981,0.419337
6985,0.419214
6989,0.41909
6993,0.418966
6997,0.418842
7001,0.418718
7005,0.418594
7009,0.41847
7013,0.418346
7017,0.418221
7021,0.418097
7025,0.417973
7029,0.417848
7033,0.417724
7037,0.417599
7041,0.417474
7045,0.41735
7049,0.417225
7053,0.4171
7057,0.416975
7061,0.41685
7065,0.416725
7069,0.4166
7073,0.416475
7077,0.41635
7081,0.416224
7085,0.416099
7089,0.415974
7093,0.415848
7097,0.415723
7101,0.415597
7105,0.415471
7109,0.415346
